Bin number,Z_start (m),R_start (m),Z_end (m),R_end (m),Material,Thickness (m),Cu thickness (m),mode,S. Area parent bin (m^2),Surface area (m^2),f (ion flux scaling factor),location,rtol,atol,FP max. stepsize (s),Max. stepsize no FP (s),BC Plasma Facing Surface,BC rear surface
17,-1.36,7.89,-2.26,7.27,W,0.006,0.005,wetted,52.6,3.52,1,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
17,-1.36,7.89,-2.26,7.27,B,1E-06,0,shadowed,52.6,49.1,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
18,-2.26,7.27,-3.25,6.06,W,0.012,0.002,wetted,54.4,8.34,1,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
18,-2.26,7.27,-3.25,6.06,W,0.012,0,shadowed,54.4,46.1,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
19,-3.25,6.06,-3.35,5.83,B,1E-06,0,,9.37,9.37,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
20,-3.35,5.83,-3.54,5.66,B,1E-06,0,,9.2,9.2,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
21,-3.54,5.66,-3.77,5.57,B,1E-06,0,,8.71,8.71,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
22,-3.77,5.57,-3.93,5.56,B,1E-06,0,,5.61,5.61,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
23,-3.93,5.56,-4.01,5.56,W,0.006,0,,2.79,2.79,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
24,-4.01,5.56,-4.08,5.56,W,0.006,0,,2.45,2.45,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
25,-4.08,5.56,-4.14,5.56,W,0.006,0,,2.1,2.1,1,Div,1E-08,1000000000000,5,30,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
26,-4.14,5.56,-4.2,5.56,W,0.006,0,,2.1,2.1,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
27,-4.2,5.56,-4.26,5.56,W,0.006,0,,2.1,2.1,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
28,-4.26,5.56,-4.32,5.56,W,0.006,0,,2.1,2.1,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
29,-4.32,5.56,-4.38,5.56,W,0.006,0,,2.1,2.1,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
30,-4.38,5.56,-4.44,5.56,W,0.006,0,,2.1,2.1,1,Div,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
